_id,neighborhood_municipality,bivalent_booster
21806,Elliott (Pittsburgh),306
21807,Pennsbury Village,133
21808,Shaler,6614
21809,Turtle Creek,649
21810,Indiana,1690
21811,Overbrook (Pittsburgh),558
21812,Central Northside (Pittsburgh),798
21813,Central Oakland (Pittsburgh),405
21814,Hays (Pittsburgh),46
21815,Edgeworth,446
21816,Tarentum,506
